sb28;sb86;null;[sb71,0.0,0.0,22.0,64.0]
sb16;null;sb71;[sb28,0.0,0.0,39.0,46.0]
sb37;null;sb28;[sb16,0.0,0.0,36.0,57.0]
sb21;null;sb16;[sb37,0.0,0.0,60.0,20.0]
sb5;null;sb37;[sb21,0.0,0.0,64.0,50.0]
sb80;null;sb21;[sb5,0.0,0.0,39.0,49.0]
sb26;null;sb5;[sb80,0.0,0.0,58.0,16.0]
sb84;null;sb80;[sb26,0.0,0.0,40.0,55.0]
sb70;null;sb26;[sb84,0.0,0.0,67.0,22.0]
sb87;null;sb84;[sb70,0.0,0.0,42.0,42.0]
sb94;null;sb70;[sb87,0.0,0.0,39.0,44.0]
sb53;null;sb87;[sb94,0.0,0.0,59.0,41.0]
sb23;null;sb94;[sb53,0.0,0.0,21.0,43.0]
sb88;null;sb53;[sb23,0.0,0.0,49.0,20.0]
sb4;null;sb23;[sb88,0.0,0.0,24.0,37.0]
sb44;null;sb88;[sb4,0.0,0.0,29.0,19.0]
sb2;null;sb4;[sb44,0.0,0.0,65.0,47.0]
sb43;null;sb44;[sb2,0.0,0.0,34.0,53.0]
sb97;null;sb2;[sb43,0.0,0.0,61.0,46.0]
sb12;null;sb43;[sb97,0.0,0.0,17.0,67.0]
sb79;null;sb97;[sb12,0.0,0.0,61.0,28.0]
sb6;null;sb12;[sb79,0.0,0.0,60.0,41.0]
sb96;null;sb79;[sb6,0.0,0.0,18.0,40.0]
null;null;sb6;[sb96,0.0,0.0,40.0,66.0]
sb72;sb58;sb71;[sb86,0.0,0.0,37.0,56.0]
sb40;null;sb86;[sb72,0.0,0.0,61.0,61.0]
sb73;null;sb72;[sb40,0.0,0.0,29.0,26.0]
sb55;null;sb40;[sb73,0.0,0.0,67.0,61.0]
sb31;null;sb73;[sb55,0.0,0.0,34.0,56.0]
sb8;null;sb55;[sb31,0.0,0.0,26.0,34.0]
sb49;null;sb31;[sb8,0.0,0.0,62.0,50.0]
sb25;null;sb8;[sb49,0.0,0.0,47.0,65.0]
sb98;null;sb49;[sb25,0.0,0.0,54.0,39.0]
sb51;null;sb25;[sb98,0.0,0.0,22.0,62.0]
sb52;null;sb98;[sb51,0.0,0.0,38.0,57.0]
sb19;null;sb51;[sb52,0.0,0.0,45.0,54.0]
sb38;null;sb52;[sb19,0.0,0.0,50.0,31.0]
sb85;null;sb19;[sb38,0.0,0.0,23.0,57.0]
sb64;null;sb38;[sb85,0.0,0.0,20.0,25.0]
sb50;null;sb85;[sb64,0.0,0.0,50.0,47.0]
sb0;null;sb64;[sb50,0.0,0.0,67.0,32.0]
sb93;null;sb50;[sb0,0.0,0.0,33.0,43.0]
sb35;null;sb0;[sb93,0.0,0.0,35.0,65.0]
sb29;null;sb93;[sb35,0.0,0.0,38.0,31.0]
sb89;null;sb35;[sb29,0.0,0.0,24.0,62.0]
sb32;null;sb29;[sb89,0.0,0.0,27.0,38.0]
sb99;null;sb89;[sb32,0.0,0.0,43.0,53.0]
sb66;null;sb32;[sb99,0.0,0.0,66.0,49.0]
null;null;sb99;[sb66,0.0,0.0,61.0,67.0]
sb34;sb3;sb86;[sb58,0.0,0.0,46.0,34.0]
sb82;null;sb58;[sb34,0.0,0.0,27.0,54.0]
sb39;null;sb34;[sb82,0.0,0.0,47.0,57.0]
sb75;null;sb82;[sb39,0.0,0.0,55.0,52.0]
sb68;null;sb39;[sb75,0.0,0.0,28.0,19.0]
sb45;null;sb75;[sb68,0.0,0.0,63.0,52.0]
sb14;null;sb68;[sb45,0.0,0.0,44.0,23.0]
sb76;null;sb45;[sb14,0.0,0.0,63.0,43.0]
sb22;null;sb14;[sb76,0.0,0.0,33.0,22.0]
sb27;null;sb76;[sb22,0.0,0.0,49.0,34.0]
sb56;null;sb22;[sb27,0.0,0.0,25.0,65.0]
sb60;null;sb27;[sb56,0.0,0.0,17.0,63.0]
sb91;null;sb56;[sb60,0.0,0.0,40.0,23.0]
sb65;null;sb60;[sb91,0.0,0.0,56.0,33.0]
sb30;null;sb91;[sb65,0.0,0.0,57.0,56.0]
sb62;null;sb65;[sb30,0.0,0.0,24.0,26.0]
sb9;null;sb30;[sb62,0.0,0.0,19.0,60.0]
sb78;null;sb62;[sb9,0.0,0.0,41.0,16.0]
sb18;null;sb9;[sb78,0.0,0.0,32.0,36.0]
sb95;null;sb78;[sb18,0.0,0.0,48.0,51.0]
sb11;null;sb18;[sb95,0.0,0.0,51.0,19.0]
sb13;null;sb95;[sb11,0.0,0.0,39.0,59.0]
sb67;null;sb11;[sb13,0.0,0.0,57.0,48.0]
sb92;null;sb13;[sb67,0.0,0.0,40.0,44.0]
sb61;null;sb67;[sb92,0.0,0.0,16.0,26.0]
sb33;null;sb92;[sb61,0.0,0.0,33.0,23.0]
null;null;sb61;[sb33,0.0,0.0,35.0,22.0]
sb47;null;sb58;[sb3,0.0,0.0,67.0,37.0]
sb74;null;sb3;[sb47,0.0,0.0,65.0,33.0]
sb10;null;sb47;[sb74,0.0,0.0,38.0,42.0]
sb57;null;sb74;[sb10,0.0,0.0,18.0,52.0]
sb83;null;sb10;[sb57,0.0,0.0,47.0,18.0]
sb1;null;sb57;[sb83,0.0,0.0,16.0,22.0]
sb7;null;sb83;[sb1,0.0,0.0,37.0,65.0]
sb59;null;sb1;[sb7,0.0,0.0,22.0,40.0]
sb81;null;sb7;[sb59,0.0,0.0,37.0,50.0]
sb17;null;sb59;[sb81,0.0,0.0,40.0,50.0]
sb48;null;sb81;[sb17,0.0,0.0,66.0,44.0]
sb41;null;sb17;[sb48,0.0,0.0,27.0,57.0]
sb77;null;sb48;[sb41,0.0,0.0,27.0,55.0]
sb15;null;sb41;[sb77,0.0,0.0,57.0,66.0]
sb90;null;sb77;[sb15,0.0,0.0,59.0,52.0]
sb20;null;sb15;[sb90,0.0,0.0,39.0,33.0]
sb69;null;sb90;[sb20,0.0,0.0,37.0,19.0]
sb24;null;sb20;[sb69,0.0,0.0,27.0,54.0]
sb36;null;sb69;[sb24,0.0,0.0,45.0,28.0]
sb42;null;sb24;[sb36,0.0,0.0,67.0,39.0]
sb63;null;sb36;[sb42,0.0,0.0,62.0,53.0]
sb54;null;sb42;[sb63,0.0,0.0,36.0,45.0]
sb46;null;sb63;[sb54,0.0,0.0,61.0,18.0]
null;null;sb54;[sb46,0.0,0.0,39.0,22.0]
