sb37;sb91;null;[sb87,364.0,255.0,39.0,44.0]
sb54;null;sb87;[sb37,624.0,52.0,20.0,60.0]
sb53;null;sb37;[sb54,559.0,95.0,18.0,61.0]
sb81;null;sb54;[sb53,516.0,111.0,21.0,43.0]
sb94;null;sb53;[sb81,112.0,194.0,40.0,50.0]
sb56;null;sb81;[sb94,664.0,197.0,41.0,59.0]
sb33;null;sb94;[sb56,611.0,119.0,17.0,63.0]
sb61;null;sb56;[sb33,505.0,57.0,22.0,35.0]
sb43;null;sb33;[sb61,782.0,104.0,33.0,23.0]
sb19;null;sb61;[sb43,0.0,87.0,61.0,46.0]
sb78;null;sb43;[sb19,810.0,0.0,31.0,50.0]
sb75;null;sb19;[sb78,0.0,152.0,36.0,32.0]
null;null;sb78;[sb75,686.0,158.0,19.0,28.0]
sb80;sb76;sb87;[sb91,517.0,236.0,56.0,33.0]
sb4;null;sb91;[sb80,96.0,181.0,16.0,58.0]
sb6;null;sb80;[sb4,198.0,0.0,29.0,19.0]
sb57;null;sb4;[sb6,266.0,0.0,40.0,18.0]
sb97;null;sb6;[sb57,628.0,112.0,18.0,47.0]
sb27;null;sb57;[sb97,40.0,220.0,17.0,67.0]
sb3;null;sb97;[sb27,324.0,62.0,25.0,65.0]
sb96;null;sb27;[sb3,161.0,0.0,37.0,67.0]
sb58;null;sb3;[sb96,0.0,220.0,40.0,66.0]
sb73;null;sb96;[sb58,646.0,121.0,46.0,34.0]
sb44;null;sb58;[sb73,587.0,182.0,61.0,67.0]
null;null;sb73;[sb44,61.0,87.0,65.0,47.0]
null;sb79;sb91;[sb76,705.0,158.0,22.0,33.0]
sb46;sb1;sb76;[sb79,36.0,179.0,60.0,41.0]
sb74;null;sb79;[sb46,149.0,116.0,39.0,22.0]
sb38;null;sb46;[sb74,648.0,155.0,38.0,42.0]
sb98;null;sb74;[sb38,644.0,52.0,23.0,57.0]
sb23;null;sb38;[sb98,57.0,220.0,22.0,62.0]
sb35;null;sb98;[sb23,150.0,67.0,20.0,49.0]
sb36;null;sb23;[sb35,554.0,57.0,31.0,38.0]
sb39;null;sb35;[sb36,585.0,52.0,39.0,67.0]
sb69;null;sb36;[sb39,667.0,66.0,52.0,55.0]
sb20;null;sb39;[sb69,366.0,146.0,54.0,27.0]
sb14;null;sb69;[sb20,0.0,33.0,37.0,19.0]
null;null;sb20;[sb14,560.0,0.0,63.0,43.0]
sb84;sb88;sb79;[sb1,43.0,0.0,65.0,37.0]
sb22;null;sb1;[sb84,221.0,232.0,22.0,67.0]
sb18;null;sb84;[sb22,101.0,37.0,49.0,34.0]
sb29;null;sb22;[sb18,762.0,0.0,48.0,51.0]
sb99;null;sb18;[sb29,388.0,52.0,24.0,62.0]
sb89;null;sb29;[sb99,79.0,244.0,49.0,66.0]
sb68;null;sb99;[sb89,440.0,192.0,38.0,27.0]
sb17;null;sb89;[sb68,314.0,192.0,52.0,63.0]
sb34;null;sb68;[sb17,718.0,0.0,44.0,66.0]
sb48;null;sb17;[sb34,527.0,57.0,27.0,54.0]
null;null;sb34;[sb48,253.0,88.0,57.0,27.0]
sb24;sb65;sb1;[sb88,403.0,192.0,37.0,24.0]
sb92;null;sb88;[sb24,170.0,67.0,45.0,28.0]
sb40;null;sb24;[sb92,573.0,249.0,26.0,16.0]
sb90;null;sb92;[sb40,719.0,66.0,26.0,29.0]
sb86;null;sb40;[sb90,478.0,159.0,39.0,33.0]
sb62;null;sb90;[sb86,308.0,255.0,56.0,37.0]
sb95;null;sb86;[sb62,0.0,133.0,60.0,19.0]
sb9;null;sb62;[sb95,705.0,215.0,51.0,19.0]
sb0;null;sb95;[sb9,378.0,0.0,16.0,41.0]
sb60;null;sb9;[sb0,0.0,0.0,43.0,33.0]
null;null;sb0;[sb60,742.0,121.0,40.0,23.0]
sb72;sb13;sb88;[sb65,146.0,138.0,57.0,56.0]
sb85;null;sb65;[sb72,526.0,175.0,61.0,61.0]
sb30;null;sb72;[sb85,288.0,232.0,20.0,25.0]
