sb14;sb63;null;[sb49,929.0,50.0,65.0,47.0]
sb68;null;sb49;[sb14,560.0,0.0,63.0,43.0]
sb1;null;sb14;[sb68,705.0,113.0,63.0,52.0]
sb94;null;sb68;[sb1,43.0,0.0,37.0,65.0]
sb31;null;sb1;[sb94,809.0,137.0,59.0,41.0]
sb7;null;sb94;[sb31,221.0,49.0,34.0,26.0]
sb45;null;sb31;[sb7,306.0,0.0,40.0,22.0]
sb58;null;sb7;[sb45,745.0,66.0,23.0,44.0]
sb87;null;sb45;[sb58,222.0,102.0,34.0,46.0]
sb79;null;sb58;[sb87,509.0,168.0,39.0,44.0]
sb69;null;sb87;[sb79,181.0,192.0,41.0,60.0]
null;null;sb79;[sb69,757.0,110.0,27.0,54.0]
sb72;sb80;sb49;[sb63,451.0,116.0,36.0,45.0]
sb85;null;sb63;[sb72,917.0,115.0,61.0,61.0]
sb43;null;sb72;[sb85,433.0,161.0,20.0,25.0]
sb76;null;sb85;[sb43,619.0,52.0,61.0,46.0]
sb22;null;sb43;[sb76,57.0,122.0,22.0,33.0]
sb23;null;sb76;[sb22,942.0,0.0,49.0,34.0]
sb20;null;sb22;[sb23,991.0,0.0,20.0,49.0]
sb8;null;sb23;[sb20,841.0,0.0,19.0,37.0]
sb73;null;sb20;[sb8,328.0,0.0,50.0,62.0]
sb42;null;sb8;[sb73,978.0,81.0,61.0,67.0]
sb99;null;sb73;[sb42,557.0,57.0,53.0,62.0]
sb54;null;sb42;[sb99,980.0,148.0,49.0,66.0]
null;null;sb99;[sb54,135.0,113.0,18.0,61.0]
sb44;sb37;sb63;[sb80,241.0,136.0,16.0,58.0]
sb33;null;sb80;[sb44,680.0,66.0,65.0,47.0]
sb2;null;sb44;[sb33,290.0,40.0,35.0,22.0]
sb16;null;sb33;[sb2,108.0,0.0,34.0,53.0]
sb91;null;sb2;[sb16,682.0,0.0,36.0,57.0]
sb66;null;sb16;[sb91,662.0,176.0,33.0,56.0]
sb34;null;sb91;[sb66,594.0,110.0,61.0,67.0]
sb88;null;sb66;[sb34,312.0,62.0,27.0,54.0]
sb59;null;sb88;[sb28,134.0,67.0,39.0,46.0]
sb24;null;sb28;[sb59,268.0,116.0,37.0,50.0]
sb81;null;sb59;[sb24,1011.0,0.0,28.0,45.0]
sb28;null;sb34;[sb88,548.0,168.0,37.0,24.0]
sb3;null;sb24;[sb81,257.0,153.0,40.0,50.0]
null;null;sb81;[sb3,161.0,0.0,37.0,67.0]
sb4;sb32;sb80;[sb37,409.0,59.0,60.0,20.0]
sb50;null;sb37;[sb4,198.0,0.0,19.0,29.0]
sb27;null;sb4;[sb50,976.0,49.0,67.0,32.0]
sb57;null;sb50;[sb27,109.0,34.0,65.0,25.0]
sb92;null;sb27;[sb57,204.0,93.0,47.0,18.0]
sb25;null;sb57;[sb92,718.0,176.0,26.0,16.0]
sb0;null;sb92;[sb25,0.0,37.0,54.0,39.0]
sb74;null;sb25;[sb0,0.0,0.0,33.0,43.0]
null;null;sb0;[sb74,0.0,133.0,42.0,38.0]
sb53;sb84;sb37;[sb32,247.0,49.0,53.0,43.0]
sb18;null;sb32;[sb53,92.0,113.0,43.0,21.0]
sb82;null;sb53;[sb18,762.0,0.0,51.0,48.0]
sb97;null;sb18;[sb82,297.0,153.0,57.0,47.0]
sb26;null;sb82;[sb97,941.0,176.0,67.0,17.0]
sb6;null;sb97;[sb26,54.0,37.0,55.0,40.0]
sb12;null;sb26;[sb6,266.0,0.0,40.0,18.0]
sb83;null;sb6;[sb12,451.0,0.0,61.0,28.0]
sb77;null;sb12;[sb83,344.0,152.0,22.0,16.0]
sb75;null;sb83;[sb77,79.0,174.0,57.0,66.0]
null;null;sb77;[sb75,38.0,122.0,19.0,28.0]
sb71;sb39;sb32;[sb84,366.0,152.0,67.0,22.0]
sb40;null;sb84;[sb71,853.0,84.0,64.0,22.0]
sb17;null;sb71;[sb40,504.0,57.0,26.0,29.0]
sb36;null;sb40;[sb17,718.0,0.0,66.0,44.0]
sb21;null;sb17;[sb36,370.0,62.0,67.0,39.0]
sb47;null;sb36;[sb21,878.0,0.0,64.0,50.0]
sb65;null;sb21;[sb47,807.0,51.0,33.0,65.0]
sb98;null;sb47;[sb65,537.0,112.0,56.0,57.0]
sb15;null;sb65;[sb98,958.0,176.0,22.0,62.0]
null;null;sb98;[sb15,623.0,0.0,59.0,52.0]
sb13;sb96;sb84;[sb39,452.0,28.0,55.0,52.0]
sb51;null;sb39;[sb13,512.0,0.0,48.0,57.0]
sb10;null;sb13;[sb51,0.0,76.0,38.0,57.0]
sb55;null;sb51;[sb10,394.0,0.0,52.0,18.0]
sb48;null;sb10;[sb55,153.0,129.0,56.0,34.0]
sb41;null;sb55;[sb48,872.0,50.0,27.0,57.0]
sb19;null;sb48;[sb41,530.0,57.0,55.0,27.0]
sb60;null;sb41;[sb19,810.0,0.0,31.0,50.0]
sb38;null;sb19;[sb60,318.0,116.0,23.0,40.0]
sb64;null;sb60;[sb38,429.0,59.0,23.0,57.0]
sb9;null;sb38;[sb64,487.0,112.0,50.0,47.0]
sb5;null;sb64;[sb9,378.0,0.0,16.0,41.0]
null;null;sb9;[sb5,227.0,0.0,39.0,49.0]
sb78;sb30;sb39;[sb96,901.0,176.0,40.0,66.0]
sb35;null;sb96;[sb78,145.0,185.0,32.0,36.0]
