sb97;sb95;null;[sb39,1508.0,0.0,52.0,55.0]
sb46;null;sb39;[sb97,760.0,89.0,17.0,67.0]
sb90;null;sb97;[sb46,149.0,67.0,22.0,39.0]
sb27;null;sb46;[sb90,442.0,116.0,39.0,33.0]
sb73;null;sb90;[sb27,1165.0,0.0,25.0,65.0]
sb55;null;sb27;[sb73,1402.0,67.0,61.0,67.0]
sb36;null;sb73;[sb55,577.0,43.0,34.0,56.0]
sb65;null;sb55;[sb36,1426.0,0.0,39.0,67.0]
sb47;null;sb36;[sb65,961.0,49.0,57.0,56.0]
sb8;null;sb65;[sb47,188.0,67.0,33.0,65.0]
sb23;null;sb47;[sb8,328.0,0.0,50.0,62.0]
sb98;null;sb8;[sb23,991.0,0.0,20.0,49.0]
null;null;sb23;[sb98,777.0,89.0,22.0,62.0]
sb87;sb59;sb39;[sb95,669.0,103.0,19.0,51.0]
sb4;null;sb95;[sb87,328.0,127.0,39.0,44.0]
sb81;null;sb87;[sb4,198.0,0.0,29.0,19.0]
sb57;null;sb4;[sb81,76.0,84.0,40.0,50.0]
sb99;null;sb81;[sb57,628.0,52.0,18.0,47.0]
sb82;null;sb57;[sb99,799.0,74.0,49.0,66.0]
sb30;null;sb99;[sb82,116.0,89.0,47.0,57.0]
sb62;null;sb82;[sb30,1253.0,0.0,24.0,26.0]
sb21;null;sb30;[sb62,815.0,50.0,60.0,19.0]
sb56;null;sb62;[sb21,878.0,0.0,64.0,50.0]
sb16;null;sb21;[sb56,611.0,52.0,17.0,63.0]
sb9;null;sb56;[sb16,682.0,0.0,36.0,57.0]
null;null;sb16;[sb9,378.0,0.0,16.0,41.0]
sb61;sb12;sb95;[sb59,692.0,66.0,50.0,37.0]
sb15;null;sb59;[sb61,782.0,51.0,23.0,33.0]
sb45;null;sb61;[sb15,623.0,0.0,59.0,52.0]
sb13;null;sb15;[sb45,126.0,34.0,23.0,44.0]
sb85;null;sb45;[sb13,512.0,0.0,48.0,57.0]
