sb19;sb10;null;[sb99,79.0,511.0,66.0,49.0]
sb63;null;sb99;[sb19,250.0,49.0,31.0,50.0]
sb88;null;sb19;[sb63,0.0,264.0,36.0,45.0]
sb47;null;sb63;[sb88,0.0,374.0,24.0,37.0]
sb31;null;sb88;[sb47,250.0,153.0,65.0,33.0]
sb7;null;sb47;[sb31,167.0,133.0,26.0,34.0]
sb77;null;sb31;[sb7,306.0,0.0,22.0,40.0]
sb5;null;sb7;[sb77,265.0,306.0,66.0,57.0]
sb36;null;sb77;[sb5,227.0,0.0,39.0,49.0]
sb53;null;sb5;[sb36,316.0,112.0,39.0,67.0]
sb21;null;sb36;[sb53,92.0,214.0,21.0,43.0]
null;null;sb53;[sb21,318.0,62.0,50.0,64.0]
sb23;sb35;sb99;[sb10,394.0,0.0,18.0,52.0]
sb50;null;sb10;[sb23,431.0,59.0,20.0,49.0]
sb76;null;sb23;[sb50,419.0,163.0,67.0,32.0]
sb46;null;sb50;[sb76,243.0,317.0,22.0,33.0]
sb26;null;sb76;[sb46,211.0,186.0,39.0,22.0]
sb13;null;sb46;[sb26,0.0,80.0,55.0,40.0]
sb52;null;sb26;[sb13,512.0,0.0,48.0,57.0]
sb68;null;sb13;[sb52,38.0,207.0,54.0,45.0]
sb15;null;sb52;[sb68,254.0,243.0,52.0,63.0]
sb81;null;sb68;[sb15,63.0,37.0,59.0,52.0]
null;null;sb15;[sb81,76.0,392.0,50.0,40.0]
sb18;sb32;sb10;[sb35,285.0,59.0,38.0,31.0]
sb27;null;sb35;[sb18,202.0,49.0,48.0,51.0]
sb97;null;sb18;[sb27,55.0,89.0,65.0,25.0]
sb71;null;sb27;[sb97,40.0,477.0,67.0,17.0]
sb44;null;sb97;[sb71,0.0,311.0,22.0,64.0]
sb87;null;sb71;[sb44,123.0,167.0,47.0,65.0]
sb11;null;sb44;[sb87,328.0,363.0,39.0,44.0]
sb80;null;sb87;[sb11,412.0,0.0,39.0,59.0]
sb45;null;sb11;[sb80,60.0,392.0,16.0,58.0]
sb51;null;sb80;[sb45,188.0,186.0,23.0,44.0]
sb14;null;sb45;[sb51,0.0,207.0,38.0,57.0]
null;null;sb51;[sb14,0.0,37.0,43.0,63.0]
sb60;sb4;sb35;[sb32,193.0,133.0,53.0,43.0]
sb8;null;sb32;[sb60,318.0,206.0,40.0,23.0]
sb17;null;sb60;[sb8,328.0,0.0,62.0,50.0]
sb95;null;sb8;[sb17,158.0,67.0,44.0,66.0]
sb24;null;sb17;[sb95,302.0,407.0,19.0,51.0]
sb0;null;sb95;[sb24,451.0,28.0,28.0,45.0]
sb86;null;sb24;[sb0,0.0,0.0,33.0,43.0]
sb70;null;sb0;[sb86,272.0,363.0,56.0,37.0]
sb22;null;sb86;[sb70,360.0,260.0,42.0,42.0]
sb93;null;sb70;[sb22,382.0,59.0,34.0,49.0]
sb56;null;sb22;[sb93,196.0,443.0,35.0,65.0]
sb85;null;sb93;[sb56,187.0,230.0,17.0,63.0]
null;null;sb56;[sb85,252.0,363.0,20.0,25.0]
sb20;sb12;sb32;[sb4,198.0,0.0,29.0,19.0]
sb62;null;sb4;[sb20,281.0,40.0,37.0,19.0]
sb39;null;sb20;[sb62,391.0,237.0,19.0,60.0]
sb61;null;sb62;[sb39,398.0,108.0,52.0,55.0]
sb43;null;sb39;[sb61,358.0,237.0,33.0,23.0]
sb3;null;sb61;[sb43,62.0,154.0,46.0,61.0]
sb90;null;sb43;[sb3,161.0,0.0,67.0,37.0]
sb82;null;sb3;[sb90,75.0,450.0,39.0,33.0]
sb48;null;sb90;[sb82,116.0,421.0,57.0,47.0]
sb66;null;sb82;[sb48,315.0,179.0,27.0,57.0]
sb83;null;sb48;[sb66,143.0,293.0,67.0,61.0]
null;null;sb66;[sb83,163.0,421.0,16.0,22.0]
sb58;sb79;sb4;[sb12,451.0,0.0,61.0,28.0]
