sb36;sb7;null;[sb10,394.0,0.0,18.0,52.0]
sb22;null;sb10;[sb36,1426.0,0.0,39.0,67.0]
sb70;null;sb36;[sb22,942.0,0.0,34.0,49.0]
sb31;null;sb22;[sb70,1174.0,65.0,42.0,42.0]
sb59;null;sb70;[sb31,1277.0,0.0,26.0,34.0]
sb11;null;sb31;[sb59,631.0,52.0,37.0,50.0]
sb21;null;sb59;[sb11,412.0,0.0,39.0,59.0]
sb62;null;sb11;[sb21,878.0,0.0,50.0,64.0]
sb4;null;sb21;[sb62,754.0,66.0,19.0,60.0]
sb24;null;sb62;[sb4,198.0,0.0,19.0,29.0]
sb96;null;sb4;[sb24,1011.0,0.0,45.0,28.0]
sb8;null;sb24;[sb96,604.0,89.0,40.0,66.0]
null;null;sb96;[sb8,328.0,0.0,50.0,62.0]
null;sb69;sb10;[sb7,306.0,0.0,22.0,40.0]
sb13;sb52;sb7;[sb69,1120.0,65.0,27.0,54.0]
sb19;null;sb69;[sb13,512.0,0.0,48.0,57.0]
sb14;null;sb13;[sb19,810.0,0.0,31.0,50.0]
sb32;null;sb19;[sb14,560.0,0.0,43.0,63.0]
sb9;null;sb14;[sb32,1303.0,0.0,43.0,53.0]
sb79;null;sb32;[sb9,378.0,0.0,16.0,41.0]
sb86;null;sb9;[sb79,1583.0,55.0,41.0,60.0]
sb54;null;sb79;[sb86,156.0,100.0,56.0,37.0]
sb15;null;sb86;[sb54,498.0,57.0,18.0,61.0]
sb92;null;sb54;[sb15,623.0,0.0,59.0,52.0]
sb45;null;sb15;[sb92,421.0,104.0,26.0,16.0]
sb27;null;sb92;[sb45,65.0,37.0,23.0,44.0]
null;null;sb45;[sb27,1165.0,0.0,25.0,65.0]
sb77;sb2;sb69;[sb52,401.0,59.0,54.0,45.0]
sb5;null;sb52;[sb77,1481.0,60.0,57.0,66.0]
sb99;null;sb77;[sb5,227.0,0.0,39.0,49.0]
sb63;null;sb5;[sb99,683.0,89.0,49.0,66.0]
sb1;null;sb99;[sb63,814.0,50.0,36.0,45.0]
sb51;null;sb63;[sb1,43.0,0.0,37.0,65.0]
sb76;null;sb1;[sb51,363.0,62.0,38.0,57.0]
sb55;null;sb51;[sb76,1459.0,67.0,22.0,33.0]
sb85;null;sb76;[sb55,516.0,57.0,34.0,56.0]
sb95;null;sb55;[sb85,136.0,100.0,20.0,25.0]
sb98;null;sb85;[sb95,553.0,120.0,19.0,51.0]
null;null;sb95;[sb98,661.0,89.0,22.0,62.0]
sb90;sb6;sb52;[sb2,108.0,0.0,34.0,53.0]
sb74;null;sb2;[sb90,326.0,119.0,39.0,33.0]
sb12;null;sb90;[sb74,1402.0,67.0,38.0,42.0]
sb58;null;sb74;[sb12,451.0,0.0,28.0,61.0]
sb83;null;sb12;[sb58,585.0,52.0,46.0,34.0]
sb64;null;sb58;[sb83,47.0,84.0,16.0,22.0]
sb61;null;sb83;[sb64,850.0,50.0,50.0,47.0]
sb3;null;sb64;[sb61,721.0,66.0,33.0,23.0]
sb91;null;sb61;[sb3,161.0,0.0,37.0,67.0]
sb43;null;sb3;[sb91,365.0,119.0,33.0,56.0]
sb28;null;sb91;[sb43,1675.0,0.0,61.0,46.0]
null;null;sb43;[sb28,1190.0,0.0,39.0,46.0]
sb41;sb78;sb2;[sb6,266.0,0.0,40.0,18.0]
sb65;null;sb6;[sb41,1586.0,0.0,27.0,55.0]
sb18;null;sb41;[sb65,900.0,50.0,57.0,56.0]
sb46;null;sb65;[sb18,762.0,0.0,48.0,51.0]
sb0;null;sb18;[sb46,88.0,37.0,39.0,22.0]
sb30;null;sb46;[sb0,0.0,0.0,33.0,43.0]
sb33;null;sb0;[sb30,1253.0,0.0,24.0,26.0]
sb75;null;sb30;[sb33,1346.0,0.0,22.0,35.0]
sb80;null;sb33;[sb75,1440.0,67.0,19.0,28.0]
sb88;null;sb75;[sb80,1643.0,53.0,16.0,58.0]
sb42;null;sb80;[sb88,251.0,114.0,37.0,24.0]
null;null;sb88;[sb42,1613.0,0.0,53.0,62.0]
sb26;sb97;sb6;[sb78,1547.0,55.0,32.0,36.0]
sb53;null;sb78;[sb26,1110.0,0.0,55.0,40.0]
sb56;null;sb26;[sb53,455.0,28.0,43.0,21.0]
sb67;null;sb53;[sb56,550.0,57.0,17.0,63.0]
sb72;null;sb56;[sb67,1024.0,39.0,44.0,40.0]
sb71;null;sb67;[sb72,1280.0,53.0,61.0,61.0]
sb57;null;sb72;[sb71,1216.0,62.0,22.0,64.0]
sb25;null;sb71;[sb57,567.0,43.0,18.0,47.0]
sb68;null;sb57;[sb25,1056.0,0.0,54.0,39.0]
sb17;null;sb25;[sb68,1068.0,40.0,52.0,63.0]
sb37;null;sb68;[sb17,718.0,0.0,44.0,66.0]
null;null;sb17;[sb37,1465.0,0.0,20.0,60.0]
sb23;sb66;sb78;[sb97,644.0,89.0,17.0,67.0]
sb94;null;sb97;[sb23,991.0,0.0,20.0,49.0]
sb40;null;sb23;[sb94,512.0,120.0,41.0,59.0]
sb48;null;sb94;[sb40,1560.0,0.0,26.0,29.0]
sb47;null;sb40;[sb48,192.0,67.0,27.0,57.0]
sb81;null;sb48;[sb47,127.0,67.0,33.0,65.0]
sb87;null;sb47;[sb81,1659.0,53.0,40.0,50.0]
sb44;null;sb81;[sb87,212.0,114.0,39.0,44.0]
sb29;null;sb87;[sb44,0.0,37.0,65.0,47.0]
sb60;null;sb44;[sb29,1229.0,0.0,24.0,62.0]
sb50;null;sb29;[sb60,681.0,66.0,40.0,23.0]
sb39;null;sb60;[sb50,296.0,62.0,32.0,67.0]
null;null;sb50;[sb39,1508.0,0.0,52.0,55.0]
sb35;null;sb97;[sb66,957.0,49.0,61.0,67.0]
sb34;null;sb66;[sb35,1395.0,0.0,31.0,38.0]
sb93;null;sb35;[sb34,1368.0,0.0,27.0,54.0]
sb84;null;sb34;[sb93,447.0,118.0,35.0,65.0]
sb73;null;sb93;[sb84,69.0,100.0,22.0,67.0]
sb49;null;sb84;[sb73,1341.0,54.0,61.0,67.0]
sb38;null;sb73;[sb49,249.0,49.0,47.0,65.0]
sb16;null;sb49;[sb38,1485.0,0.0,23.0,57.0]
