sb63;sb92;null;[sb75,38.0,2329.0,19.0,28.0]
sb9;null;sb75;[sb63,0.0,1798.0,36.0,45.0]
sb78;null;sb63;[sb9,112.0,34.0,16.0,41.0]
sb35;null;sb9;[sb78,0.0,2461.0,36.0,32.0]
sb54;null;sb78;[sb35,0.0,604.0,31.0,38.0]
sb83;null;sb35;[sb54,0.0,1435.0,18.0,61.0]
sb76;null;sb54;[sb83,0.0,2649.0,22.0,16.0]
sb39;null;sb83;[sb76,0.0,2371.0,22.0,33.0]
sb11;null;sb76;[sb39,0.0,826.0,52.0,55.0]
sb64;null;sb39;[sb11,146.0,67.0,39.0,59.0]
sb2;null;sb11;[sb64,0.0,1843.0,50.0,47.0]
sb37;null;sb64;[sb2,108.0,0.0,53.0,34.0]
sb87;null;sb2;[sb37,0.0,709.0,20.0,60.0]
sb23;null;sb37;[sb87,0.0,2749.0,39.0,44.0]
sb34;null;sb87;[sb23,113.0,228.0,20.0,49.0]
sb24;null;sb23;[sb34,0.0,550.0,27.0,54.0]
sb95;null;sb34;[sb24,0.0,250.0,45.0,28.0]
sb8;null;sb24;[sb95,0.0,3020.0,19.0,51.0]
null;null;sb95;[sb8,62.0,37.0,50.0,62.0]
sb36;sb79;sb75;[sb92,0.0,2910.0,26.0,16.0]
sb48;null;sb92;[sb36,0.0,642.0,67.0,39.0]
sb26;null;sb36;[sb48,0.0,1188.0,57.0,27.0]
sb62;null;sb48;[sb26,0.0,301.0,55.0,40.0]
sb5;null;sb26;[sb62,0.0,1779.0,60.0,19.0]
sb52;null;sb62;[sb5,227.0,0.0,39.0,49.0]
sb18;null;sb5;[sb52,0.0,1369.0,54.0,45.0]
sb71;null;sb52;[sb18,44.0,142.0,48.0,51.0]
null;null;sb18;[sb71,0.0,2179.0,64.0,22.0]
sb19;sb43;sb92;[sb79,0.0,2493.0,60.0,41.0]
sb31;null;sb79;[sb19,92.0,178.0,31.0,50.0]
sb97;null;sb19;[sb31,24.0,428.0,26.0,34.0]
sb96;null;sb31;[sb97,0.0,3105.0,17.0,67.0]
sb99;null;sb97;[sb96,0.0,3039.0,40.0,66.0]
sb85;null;sb96;[sb99,0.0,3172.0,49.0,66.0]
sb1;null;sb99;[sb85,0.0,2687.0,20.0,25.0]
sb42;null;sb85;[sb1,43.0,0.0,65.0,37.0]
sb13;null;sb1;[sb42,0.0,965.0,62.0,53.0]
sb17;null;sb42;[sb13,0.0,77.0,48.0,57.0]
sb40;null;sb13;[sb17,0.0,134.0,44.0,66.0]
sb28;null;sb17;[sb40,0.0,881.0,29.0,26.0]
null;null;sb40;[sb28,0.0,341.0,39.0,46.0]
sb93;sb38;sb79;[sb43,0.0,1018.0,61.0,46.0]
sb68;null;sb43;[sb93,0.0,2926.0,65.0,35.0]
sb21;null;sb93;[sb68,0.0,2047.0,52.0,63.0]
sb4;null;sb68;[sb21,0.0,200.0,64.0,50.0]
sb86;null;sb21;[sb4,198.0,0.0,29.0,19.0]
null;null;sb4;[sb86,0.0,2712.0,56.0,37.0]
sb50;sb32;sb43;[sb38,0.0,769.0,23.0,57.0]
sb67;null;sb38;[sb50,0.0,1280.0,67.0,32.0]
null;null;sb50;[sb67,0.0,2007.0,44.0,40.0]
sb3;sb41;sb38;[sb32,0.0,462.0,43.0,53.0]
null;null;sb32;[sb3,161.0,0.0,37.0,67.0]
sb10;sb53;sb32;[sb41,0.0,910.0,27.0,55.0]
sb90;null;sb41;[sb10,128.0,34.0,18.0,52.0]
sb29;null;sb10;[sb90,0.0,2844.0,39.0,33.0]
sb89;null;sb90;[sb29,39.0,366.0,24.0,62.0]
sb88;null;sb29;[sb89,0.0,2817.0,38.0,27.0]
sb44;null;sb89;[sb88,0.0,2793.0,37.0,24.0]
sb27;null;sb88;[sb44,0.0,1064.0,65.0,47.0]
sb61;null;sb44;[sb27,55.0,301.0,25.0,65.0]
sb80;null;sb27;[sb61,0.0,1756.0,33.0,23.0]
sb47;null;sb61;[sb80,0.0,2534.0,16.0,58.0]
sb7;null;sb80;[sb47,0.0,1155.0,65.0,33.0]
sb69;null;sb47;[sb7,40.0,37.0,22.0,40.0]
sb66;null;sb7;[sb69,0.0,2110.0,54.0,27.0]
sb77;null;sb69;[sb66,0.0,1946.0,67.0,61.0]
null;null;sb66;[sb77,0.0,2404.0,66.0,57.0]
sb20;sb22;sb41;[sb53,0.0,1414.0,43.0,21.0]
