sb67;sb76;null;[sb0,0.0,0.0,43.0,33.0]
sb60;null;sb0;[sb67,0.0,0.0,44.0,40.0]
sb24;null;sb67;[sb60,0.0,0.0,40.0,23.0]
sb46;null;sb60;[sb24,0.0,0.0,45.0,28.0]
sb7;null;sb24;[sb46,0.0,0.0,39.0,22.0]
sb19;null;sb46;[sb7,0.0,0.0,40.0,22.0]
sb63;null;sb7;[sb19,0.0,0.0,50.0,31.0]
sb53;null;sb19;[sb63,0.0,0.0,45.0,36.0]
sb94;null;sb63;[sb53,0.0,0.0,21.0,43.0]
sb90;null;sb53;[sb94,0.0,0.0,59.0,41.0]
sb33;null;sb94;[sb90,0.0,0.0,39.0,33.0]
sb13;null;sb90;[sb33,0.0,0.0,35.0,22.0]
null;null;sb33;[sb13,0.0,0.0,57.0,48.0]
sb98;sb80;sb0;[sb76,0.0,0.0,22.0,33.0]
sb78;null;sb76;[sb98,0.0,0.0,62.0,22.0]
sb18;null;sb98;[sb78,0.0,0.0,32.0,36.0]
sb1;null;sb78;[sb18,0.0,0.0,51.0,48.0]
sb16;null;sb18;[sb1,0.0,0.0,65.0,37.0]
sb26;null;sb1;[sb16,0.0,0.0,57.0,36.0]
sb69;null;sb16;[sb26,0.0,0.0,55.0,40.0]
sb11;null;sb26;[sb69,0.0,0.0,54.0,27.0]
sb14;null;sb69;[sb11,0.0,0.0,39.0,59.0]
sb12;null;sb11;[sb14,0.0,0.0,43.0,63.0]
sb9;null;sb14;[sb12,0.0,0.0,61.0,28.0]
null;null;sb12;[sb9,0.0,0.0,16.0,41.0]
sb79;sb89;sb76;[sb80,0.0,0.0,16.0,58.0]
sb84;null;sb80;[sb79,0.0,0.0,41.0,60.0]
sb34;null;sb79;[sb84,0.0,0.0,67.0,22.0]
sb29;null;sb84;[sb34,0.0,0.0,54.0,27.0]
sb73;null;sb34;[sb29,0.0,0.0,24.0,62.0]
sb38;null;sb29;[sb73,0.0,0.0,67.0,61.0]
sb49;null;sb73;[sb38,0.0,0.0,23.0,57.0]
sb62;null;sb38;[sb49,0.0,0.0,65.0,47.0]
sb65;null;sb49;[sb62,0.0,0.0,19.0,60.0]
sb3;null;sb62;[sb65,0.0,0.0,57.0,56.0]
sb45;null;sb65;[sb3,0.0,0.0,37.0,67.0]
sb91;null;sb3;[sb45,0.0,0.0,23.0,44.0]
sb36;null;sb45;[sb91,0.0,0.0,33.0,56.0]
null;null;sb91;[sb36,0.0,0.0,39.0,67.0]
sb48;sb17;sb80;[sb89,0.0,0.0,38.0,27.0]
sb99;null;sb89;[sb48,0.0,0.0,27.0,57.0]
sb64;null;sb48;[sb99,0.0,0.0,49.0,66.0]
sb27;null;sb99;[sb64,0.0,0.0,50.0,47.0]
sb10;null;sb64;[sb27,0.0,0.0,65.0,25.0]
sb52;null;sb27;[sb10,0.0,0.0,18.0,52.0]
sb56;null;sb10;[sb52,0.0,0.0,45.0,54.0]
