sb64;sb44;null;[sb48,600.0,0.0,27.0,57.0]
sb92;null;sb48;[sb64,1333.0,0.0,47.0,50.0]
sb46;null;sb64;[sb92,2291.0,0.0,26.0,16.0]
sb72;null;sb92;[sb46,1412.0,0.0,22.0,39.0]
sb59;null;sb46;[sb72,117.0,0.0,61.0,61.0]
sb88;null;sb72;[sb59,334.0,0.0,37.0,50.0]
sb85;null;sb59;[sb88,899.0,0.0,24.0,37.0]
sb37;null;sb88;[sb85,1919.0,0.0,20.0,25.0]
sb74;null;sb85;[sb37,239.0,0.0,20.0,60.0]
sb8;null;sb37;[sb74,1781.0,0.0,38.0,42.0]
sb75;null;sb74;[sb8,1459.0,0.0,50.0,62.0]
sb41;null;sb8;[sb75,1131.0,0.0,19.0,28.0]
sb62;null;sb75;[sb41,2614.0,0.0,27.0,55.0]
sb38;null;sb41;[sb62,454.0,0.0,19.0,60.0]
sb40;null;sb62;[sb38,473.0,0.0,23.0,57.0]
null;null;sb38;[sb40,2831.0,0.0,26.0,29.0]
sb11;sb66;sb48;[sb44,514.0,0.0,47.0,65.0]
sb83;null;sb44;[sb11,561.0,0.0,59.0,39.0]
sb93;null;sb11;[sb83,3318.0,0.0,22.0,16.0]
sb32;null;sb83;[sb93,1850.0,0.0,65.0,35.0]
sb9;null;sb93;[sb32,1588.0,0.0,43.0,53.0]
sb29;null;sb32;[sb9,3302.0,0.0,16.0,41.0]
sb15;null;sb9;[sb29,2267.0,0.0,24.0,62.0]
sb89;null;sb29;[sb15,282.0,0.0,59.0,52.0]
sb56;null;sb15;[sb89,391.0,0.0,27.0,38.0]
sb43;null;sb89;[sb56,698.0,0.0,63.0,17.0]
null;null;sb56;[sb43,2481.0,0.0,61.0,46.0]
sb47;sb28;sb44;[sb66,3038.0,0.0,61.0,67.0]
sb96;null;sb66;[sb47,2041.0,0.0,33.0,65.0]
sb36;null;sb47;[sb96,1548.0,0.0,40.0,66.0]
sb81;null;sb96;[sb36,1976.0,0.0,39.0,67.0]
sb95;null;sb36;[sb81,859.0,0.0,40.0,50.0]
sb97;null;sb81;[sb95,2944.0,0.0,19.0,51.0]
sb17;null;sb95;[sb97,2927.0,0.0,17.0,67.0]
sb0;null;sb97;[sb17,1150.0,0.0,44.0,66.0]
sb90;null;sb17;[sb0,1194.0,0.0,43.0,33.0]
sb13;null;sb0;[sb90,2234.0,0.0,33.0,39.0]
sb1;null;sb90;[sb13,1245.0,0.0,57.0,48.0]
sb4;null;sb13;[sb1,2577.0,0.0,37.0,65.0]
null;null;sb1;[sb4,980.0,0.0,19.0,29.0]
sb30;sb87;sb66;[sb28,1509.0,0.0,39.0,46.0]
sb80;null;sb28;[sb30,3173.0,0.0,24.0,26.0]
sb70;null;sb30;[sb80,1731.0,0.0,16.0,58.0]
sb10;null;sb80;[sb70,1653.0,0.0,42.0,42.0]
sb63;null;sb70;[sb10,2663.0,0.0,18.0,52.0]
sb39;null;sb10;[sb63,1695.0,0.0,36.0,45.0]
sb58;null;sb63;[sb39,2726.0,0.0,55.0,52.0]
sb35;null;sb39;[sb58,1747.0,0.0,46.0,34.0]
sb14;null;sb58;[sb35,1819.0,0.0,31.0,38.0]
sb49;null;sb35;[sb14,655.0,0.0,43.0,63.0]
sb55;null;sb14;[sb49,778.0,0.0,65.0,47.0]
sb34;null;sb49;[sb55,1885.0,0.0,34.0,56.0]
null;null;sb55;[sb34,3197.0,0.0,27.0,54.0]
sb12;sb86;sb28;[sb87,1040.0,0.0,44.0,39.0]
sb79;null;sb87;[sb12,627.0,0.0,28.0,61.0]
sb82;null;sb12;[sb79,0.0,0.0,41.0,60.0]
sb98;null;sb79;[sb82,2307.0,0.0,47.0,57.0]
sb50;null;sb82;[sb98,3280.0,0.0,22.0,62.0]
sb31;null;sb98;[sb50,2527.0,0.0,32.0,67.0]
sb69;null;sb50;[sb31,2015.0,0.0,34.0,26.0]
sb78;null;sb31;[sb69,2074.0,0.0,27.0,54.0]
sb20;null;sb69;[sb78,1380.0,0.0,32.0,36.0]
sb2;null;sb78;[sb20,1079.0,0.0,19.0,37.0]
sb94;null;sb20;[sb2,2200.0,0.0,34.0,53.0]
sb25;null;sb2;[sb94,999.0,0.0,41.0,59.0]
sb19;null;sb94;[sb25,2354.0,0.0,54.0,39.0]
null;null;sb25;[sb19,2800.0,0.0,31.0,50.0]
sb60;sb71;sb87;[sb86,80.0,0.0,37.0,56.0]
sb51;null;sb86;[sb60,259.0,0.0,40.0,23.0]
sb27;null;sb60;[sb51,2393.0,0.0,57.0,38.0]
sb6;null;sb51;[sb27,1434.0,0.0,65.0,25.0]
sb33;null;sb27;[sb6,496.0,0.0,40.0,18.0]
sb16;null;sb6;[sb33,1631.0,0.0,35.0,22.0]
sb23;null;sb33;[sb16,418.0,0.0,36.0,57.0]
sb3;null;sb16;[sb23,371.0,0.0,20.0,49.0]
sb91;null;sb23;[sb3,1939.0,0.0,37.0,67.0]
sb26;null;sb3;[sb91,1098.0,0.0,33.0,56.0]
sb57;null;sb91;[sb26,1293.0,0.0,40.0,55.0]
sb76;null;sb26;[sb57,2559.0,0.0,18.0,47.0]
null;null;sb57;[sb76,2857.0,0.0,22.0,33.0]
sb5;sb45;sb86;[sb71,2641.0,0.0,22.0,64.0]
sb77;null;sb71;[sb5,41.0,0.0,49.0,39.0]
sb7;null;sb5;[sb77,923.0,0.0,66.0,57.0]
sb52;null;sb77;[sb7,2101.0,0.0,40.0,22.0]
sb18;null;sb7;[sb52,2681.0,0.0,45.0,54.0]
sb84;null;sb52;[sb18,2879.0,0.0,48.0,51.0]
sb61;null;sb18;[sb84,2778.0,0.0,67.0,22.0]
sb99;null;sb84;[sb61,3015.0,0.0,33.0,23.0]
sb53;null;sb61;[sb99,2151.0,0.0,49.0,66.0]
sb24;null;sb99;[sb53,3152.0,0.0,21.0,43.0]
sb54;null;sb53;[sb24,2123.0,0.0,28.0,45.0]
null;null;sb24;[sb54,1227.0,0.0,18.0,61.0]
sb42;null;sb71;[sb45,715.0,0.0,44.0,23.0]
sb65;null;sb45;[sb42,3099.0,0.0,62.0,53.0]
sb73;null;sb42;[sb65,3224.0,0.0,57.0,56.0]
sb21;null;sb65;[sb73,178.0,0.0,61.0,67.0]
sb67;null;sb73;[sb21,2431.0,0.0,50.0,64.0]
sb68;null;sb21;[sb67,738.0,0.0,44.0,40.0]
sb22;null;sb67;[sb68,2963.0,0.0,52.0,63.0]
null;null;sb68;[sb22,825.0,0.0,49.0,34.0]
