sb5;sb6;null;[sb79,0.0,0.0,41.0,60.0]
sb86;null;sb79;[sb5,41.0,0.0,39.0,49.0]
sb72;null;sb5;[sb86,80.0,0.0,37.0,56.0]
sb1;null;sb86;[sb72,117.0,0.0,61.0,61.0]
sb37;null;sb72;[sb1,2577.0,0.0,37.0,65.0]
sb60;null;sb1;[sb37,239.0,0.0,20.0,60.0]
sb15;null;sb37;[sb60,259.0,0.0,23.0,40.0]
sb59;null;sb60;[sb15,282.0,0.0,52.0,59.0]
sb23;null;sb15;[sb59,334.0,0.0,37.0,50.0]
sb89;null;sb59;[sb23,371.0,0.0,20.0,49.0]
sb16;null;sb23;[sb89,391.0,0.0,27.0,38.0]
sb62;null;sb89;[sb16,418.0,0.0,36.0,57.0]
sb38;null;sb16;[sb62,454.0,0.0,19.0,60.0]
null;null;sb62;[sb38,473.0,0.0,23.0,57.0]
sb44;sb4;sb79;[sb6,496.0,0.0,18.0,40.0]
sb11;null;sb6;[sb44,514.0,0.0,47.0,65.0]
sb48;null;sb44;[sb11,561.0,0.0,39.0,59.0]
sb12;null;sb11;[sb48,600.0,0.0,27.0,57.0]
sb14;null;sb48;[sb12,627.0,0.0,28.0,61.0]
sb56;null;sb12;[sb14,655.0,0.0,43.0,63.0]
sb7;null;sb14;[sb56,698.0,0.0,17.0,63.0]
sb67;null;sb56;[sb7,2101.0,0.0,22.0,40.0]
sb49;null;sb7;[sb67,738.0,0.0,40.0,44.0]
sb22;null;sb67;[sb49,778.0,0.0,47.0,65.0]
sb81;null;sb49;[sb22,825.0,0.0,34.0,49.0]
sb88;null;sb22;[sb81,859.0,0.0,40.0,50.0]
sb77;null;sb81;[sb88,899.0,0.0,24.0,37.0]
null;null;sb88;[sb77,923.0,0.0,57.0,66.0]
sb94;sb8;sb6;[sb4,980.0,0.0,19.0,29.0]
sb87;null;sb4;[sb94,999.0,0.0,41.0,59.0]
sb20;null;sb94;[sb87,1040.0,0.0,39.0,44.0]
sb91;null;sb87;[sb20,1079.0,0.0,19.0,37.0]
sb75;null;sb20;[sb91,1098.0,0.0,33.0,56.0]
sb17;null;sb91;[sb75,1131.0,0.0,19.0,28.0]
sb0;null;sb75;[sb17,1150.0,0.0,44.0,66.0]
sb54;null;sb17;[sb0,1194.0,0.0,33.0,43.0]
sb13;null;sb0;[sb54,1227.0,0.0,18.0,61.0]
sb26;null;sb54;[sb13,1245.0,0.0,48.0,57.0]
sb64;null;sb13;[sb26,1293.0,0.0,40.0,55.0]
sb78;null;sb26;[sb64,1333.0,0.0,47.0,50.0]
sb46;null;sb64;[sb78,1380.0,0.0,32.0,36.0]
sb27;null;sb78;[sb46,1412.0,0.0,22.0,39.0]
null;null;sb46;[sb27,1434.0,0.0,25.0,65.0]
sb28;sb85;sb4;[sb8,1459.0,0.0,50.0,62.0]
sb96;null;sb8;[sb28,1509.0,0.0,39.0,46.0]
sb32;null;sb28;[sb96,1548.0,0.0,40.0,66.0]
sb33;null;sb96;[sb32,1588.0,0.0,53.0,43.0]
sb70;null;sb32;[sb33,1631.0,0.0,22.0,35.0]
sb63;null;sb33;[sb70,1653.0,0.0,42.0,42.0]
sb80;null;sb70;[sb63,1695.0,0.0,36.0,45.0]
sb58;null;sb63;[sb80,1731.0,0.0,16.0,58.0]
sb74;null;sb80;[sb58,1747.0,0.0,46.0,34.0]
sb35;null;sb58;[sb74,1781.0,0.0,38.0,42.0]
sb93;null;sb74;[sb35,1819.0,0.0,31.0,38.0]
sb55;null;sb35;[sb93,1850.0,0.0,35.0,65.0]
null;null;sb93;[sb55,1885.0,0.0,34.0,56.0]
sb3;sb25;sb8;[sb85,1919.0,0.0,20.0,25.0]
sb36;null;sb85;[sb3,1939.0,0.0,37.0,67.0]
sb31;null;sb3;[sb36,1976.0,0.0,39.0,67.0]
sb47;null;sb36;[sb31,2015.0,0.0,26.0,34.0]
sb69;null;sb31;[sb47,2041.0,0.0,33.0,65.0]
sb45;null;sb47;[sb69,2074.0,0.0,27.0,54.0]
sb24;null;sb69;[sb45,715.0,0.0,23.0,44.0]
sb99;null;sb45;[sb24,2123.0,0.0,28.0,45.0]
sb2;null;sb24;[sb99,2151.0,0.0,49.0,66.0]
sb90;null;sb99;[sb2,2200.0,0.0,34.0,53.0]
sb29;null;sb2;[sb90,2234.0,0.0,33.0,39.0]
sb92;null;sb90;[sb29,2267.0,0.0,24.0,62.0]
sb82;null;sb29;[sb92,2291.0,0.0,16.0,26.0]
null;null;sb92;[sb82,2307.0,0.0,47.0,57.0]
sb51;sb84;sb85;[sb25,2354.0,0.0,39.0,54.0]
sb21;null;sb25;[sb51,2393.0,0.0,38.0,57.0]
