sb23;sb24;null;[sb3,0.0,0.0,96.0,25.0]
null;null;sb3;[sb23,0.0,0.0,64.0,80.0]
sb27;sb46;sb3;[sb24,0.0,0.0,66.0,27.0]
null;null;sb24;[sb27,0.0,0.0,93.0,75.0]
null;sb7;sb24;[sb46,0.0,0.0,56.0,30.0]
sb0;sb49;sb46;[sb7,0.0,0.0,45.0,91.0]
null;null;sb7;[sb0,0.0,0.0,96.0,94.0]
null;sb11;sb7;[sb49,0.0,0.0,42.0,86.0]
sb41;sb47;sb49;[sb11,0.0,0.0,80.0,43.0]
null;null;sb11;[sb41,0.0,0.0,68.0,26.0]
sb22;sb36;sb11;[sb47,0.0,0.0,81.0,51.0]
null;null;sb47;[sb22,0.0,0.0,74.0,80.0]
sb33;sb37;sb47;[sb36,0.0,0.0,82.0,63.0]
null;null;sb36;[sb33,0.0,0.0,76.0,63.0]
sb25;sb18;sb36;[sb37,0.0,0.0,73.0,43.0]
null;null;sb37;[sb25,0.0,0.0,86.0,82.0]
sb48;sb6;sb37;[sb18,0.0,0.0,72.0,70.0]
null;null;sb18;[sb48,0.0,0.0,82.0,63.0]
null;sb12;sb18;[sb6,0.0,0.0,36.0,31.0]
null;sb9;sb6;[sb12,0.0,0.0,58.0,39.0]
sb20;sb13;sb12;[sb9,0.0,0.0,64.0,43.0]
sb19;null;sb9;[sb20,0.0,0.0,49.0,87.0]
null;null;sb20;[sb19,0.0,0.0,30.0,86.0]
sb35;sb42;sb9;[sb13,0.0,0.0,50.0,92.0]
null;null;sb13;[sb35,0.0,0.0,94.0,88.0]
sb44;sb2;sb13;[sb42,0.0,0.0,85.0,66.0]
null;null;sb42;[sb44,0.0,0.0,74.0,85.0]
sb8;sb29;sb42;[sb2,0.0,0.0,26.0,76.0]
sb45;null;sb2;[sb8,0.0,0.0,38.0,80.0]
sb26;null;sb8;[sb45,0.0,0.0,30.0,28.0]
null;null;sb45;[sb26,0.0,0.0,49.0,36.0]
sb15;sb5;sb2;[sb29,0.0,0.0,88.0,42.0]
null;null;sb29;[sb15,0.0,0.0,72.0,96.0]
sb14;sb39;sb29;[sb5,0.0,0.0,64.0,58.0]
null;null;sb5;[sb14,0.0,0.0,27.0,28.0]
sb30;sb1;sb5;[sb39,0.0,0.0,92.0,62.0]
null;null;sb39;[sb30,0.0,0.0,56.0,93.0]
null;sb38;sb39;[sb1,0.0,0.0,78.0,26.0]
sb17;sb40;sb1;[sb38,0.0,0.0,87.0,74.0]
null;null;sb38;[sb17,0.0,0.0,61.0,94.0]
sb32;sb21;sb38;[sb40,0.0,0.0,36.0,26.0]
sb4;null;sb40;[sb32,0.0,0.0,44.0,38.0]
null;null;sb32;[sb4,0.0,0.0,75.0,92.0]
null;sb43;sb40;[sb21,0.0,0.0,76.0,94.0]
sb31;sb16;sb21;[sb43,0.0,0.0,85.0,42.0]
sb34;null;sb43;[sb31,0.0,0.0,42.0,81.0]
null;null;sb31;[sb34,0.0,0.0,32.0,67.0]
sb28;null;sb43;[sb16,0.0,0.0,43.0,42.0]
sb10;null;sb16;[sb28,0.0,0.0,87.0,44.0]
null;null;sb28;[sb10,0.0,0.0,26.0,51.0]
